"日期","收市","開市","高","低","成交量","更改%"
"2013年11月14日","418.0","396.2","419.5","393.7","0.20K","7.81%"
"2013年11月13日","387.7","366.8","387.7","356.4","0.10K","10.73%"
"2013年11月12日","350.2","343.3","355.3","341.9","0.06K","3.42%"
"2013年11月11日","338.6","342.8","342.8","328.9","0.11K","8.55%"
"2013年11月10日","311.9","311.9","311.9","311.9","-","-7.21%"
"2013年11月9日","336.1","336.1","336.1","336.1","-","3.82%"
"2013年11月8日","323.8","323.8","323.8","323.8","-","14.29%"
"2013年11月7日","283.3","283.3","283.3","283.3","-","11.67%"
"2013年11月6日","253.7","253.7","253.7","253.7","-","6.02%"
"2013年11月5日","239.3","239.3","239.3","239.3","-","6.26%"
"2013年11月4日","225.2","225.2","225.2","225.2","-","8.46%"
"2013年11月3日","207.6","207.6","207.6","207.6","-","3.38%"
"2013年11月2日","200.9","200.9","200.9","200.9","-","1.18%"
"2013年11月1日","198.5","198.5","198.5","198.5","-","0.14%"
"2013年10月31日","198.2","198.2","198.2","198.2","-","1.89%"
"2013年10月30日","194.6","194.6","194.6","194.6","-","-1.84%"
"2013年10月29日","198.2","198.2","198.2","198.2","-","5.49%"
"2013年10月28日","187.9","187.9","187.9","187.9","-","1.17%"
"2013年10月27日","185.7","185.7","185.7","185.7","-","5.57%"
"2013年10月26日","175.9","175.9","175.9","175.9","-","-1.25%"
"2013年10月25日","178.1","178.1","178.1","178.1","-","-2.75%"
"2013年10月24日","183.1","183.1","183.1","183.1","-","-8.71%"
"2013年10月23日","200.6","200.6","200.6","200.6","-","9.12%"
"2013年10月22日","183.9","183.9","183.9","183.9","-","5.56%"
"2013年10月21日","174.2","174.2","174.2","174.2","-","6.82%"
"2013年10月20日","163.1","163.1","163.1","163.1","-","2.03%"
"2013年10月19日","159.8","159.8","159.8","159.8","-","6.83%"
"2013年10月18日","149.6","149.6","149.6","149.6","-","4.81%"
"2013年10月17日","142.7","142.7","142.7","142.7","-","3.86%"
"2013年10月16日","137.4","137.4","137.4","137.4","-","-0.88%"
"2013年10月15日","138.6","138.6","138.6","138.6","-","4.21%"
"2013年10月14日","133.0","133.0","133.0","133.0","-","2.01%"
"2013年10月13日","130.4","130.4","130.4","130.4","-","3.08%"
"2013年10月12日","126.5","126.5","126.5","126.5","-","0.80%"
"2013年10月11日","125.5","125.5","125.5","125.5","-","-0.15%"
"2013年10月10日","125.7","125.7","125.7","125.7","-","-0.11%"
"2013年10月9日","125.8","125.8","125.8","125.8","-","1.22%"
"2013年10月8日","124.3","124.3","124.3","124.3","-","0.88%"
"2013年10月7日","123.2","123.2","123.2","123.2","-","1.28%"
"2013年10月6日","121.7","121.7","121.7","121.7","-","0.45%"
"2013年10月5日","121.1","121.1","121.1","121.1","-","-0.12%"
"2013年10月4日","121.3","121.3","121.3","121.3","-","3.83%"
"2013年10月3日","116.8","116.8","116.8","116.8","-","17.04%"
"2013年10月2日","99.8","99.8","99.8","99.8","-","-20.46%"
"2013年10月1日","125.5","125.5","125.5","125.5","-","1.94%"
"2013年9月30日","123.1","123.1","123.1","123.1","-","-1.66%"
